Time [s],Packet ID,MOSI,MISO,Actual Value
32.6053465000,6998,0xA0,,
32.6056050000,6999,0xFF,,
32.6058495000,7000,0xFF,,
32.6061385000,7000,0xFF,,
32.7112915000,7000,0xE0,,7
32.7115370000,7000,0xDA,,2
32.7118265000,7000,0x60,,1
32.7120740000,7000,0xFD,,0.
32.7123645000,7000,0x00,,
32.7126085000,7000,0x00,,
32.7129015000,7000,0xFE,,8
32.7131555000,7000,0xE7,,9.
32.7134480000,7000,0xF2,,3
32.7136965000,7000,0x00,,
32.7139820000,7000,0x00,,
32.7143405000,7000,0x00,,
32.7145620000,7000,0x20,,
32.7149385000,7001,0x10,,
32.7152610000,7002,0x3F,,
32.7155485000,7002,0xCF,,
32.7158360000,7002,0x06,,
32.7160860000,7002,0x4F,,
32.7163260000,7002,0x44,,
32.7165560000,7002,0x17,,
32.7168650000,7003,0x11,,
32.7171890000,7004,0x3F,,
32.7174440000,7004,0xCF,,
32.7177325000,7004,0x06,,
32.7179820000,7004,0x4F,,
32.7182225000,7004,0x44,,
32.7184520000,7004,0x17,,
32.7187615000,7005,0x12,,
32.7193200000,7006,0x3F,,
32.7195755000,7006,0xCF,,
32.7198630000,7006,0x06,,
32.7201125000,7006,0x4F,,
32.7203525000,7006,0x44,,
32.7205815000,7006,0x17,,
32.7208915000,7007,0x13,,
32.7212175000,7008,0x3F,,
32.7214725000,7008,0xCF,,
32.7217610000,7008,0x06,,
32.7220105000,7008,0x4F,,
32.7222510000,7008,0x44,,
32.7224805000,7008,0x17,,
32.7228225000,7009,0x14,,
32.7231470000,7010,0x3F,,
32.7234020000,7010,0xCF,,
32.7236905000,7010,0x06,,
32.7239400000,7010,0x4F,,
32.7242595000,7010,0x44,,
32.7244890000,7010,0x17,,
32.7248310000,7011,0x15,,
32.7251570000,7012,0x3F,,
32.7254125000,7012,0xCF,,
32.7257005000,7012,0x06,,
32.7259505000,7012,0x4F,,
32.7261905000,7012,0x44,,
32.7264200000,7012,0x17,,
32.7267300000,7013,0x00,,
32.7270835000,7014,0x3F,,
32.7273390000,7014,0xBF,,
32.7276280000,7014,0x3F,,
32.7278800000,7014,0x3F,,
32.7281205000,7014,0x04,,
32.7283485000,7014,0x07,,
32.7286565000,7015,0x01,,
32.7289795000,7016,0x3F,,
